Batch	Day	Size (µm2)	radius	Volume
Batch 21	Day35	5114645.33	1275.947559	8701358964
Batch 21	Day35	5554197.28	1329.645029	9846814407
Batch 21	Day35	4684967.71	1221.176293	7628228668
Batch 21	Day35	5160372.12	1281.638585	8818309362
Batch16	Day35	6029303.8	1385.347251	11136905928
Batch16	Day35	4272296.35	1166.153577	6642871560
Batch16	Day35	4656107	1217.409089	7557849306
Batch16	Day35	5543735.93	1328.392244	9819007747
Batch16	Day35	3358829.45	1033.996431	4630690220
Batch16	Day35	4071568.09	1138.428907	6180254412
Batch 12	Day37	3993598.61	1127.475906	6003581616
Batch 12	Day37	4608969.59	1211.231021	7443369255
Batch 12	Day37	6227105.68	1407.888241	11689425153
Batch 12	Day37	7043529.09	1497.339288	14062070442
Batch 12	Day37	5711064.97	1348.290933	10266902824
Batch 12	Day37	6749787.69	1465.784483	13191645415
Batch 13	Day37	4211902.64	1157.881794	6502513849
Batch 13	Day37	6851080.55	1476.74191	13489703707
Batch 13	Day37	4229855.16	1160.346808	6544131910
Batch 13	Day37	4389044.67	1181.979826	6917016341
Batch 13	Day37	4655116.93	1217.279647	7555438794
Batch 13	Day37	4467977.92	1192.560918	7104447800
Batch 19	Day38	4026971.55	1132.177043	6078992987
Batch 19	Day38	5673828.17	1343.888239	10166654597
Batch 19	Day38	4626703.07	1213.558951	7486369232
